IDPLATILLO,PLATILLO,CALORIAS
747,'Bolsita de palitos de pan',100.0
748,'Croquetas de plátano rellenas de queso',100.0
749,'Sopa Sofía',100.0
750,'Pay de queso con zarzamora',100.0
751,'Renta de charola bufetera',100.0
752,'Albóndigas de requesón',100.0
753,'Calabacitas rellenas de jamón',100.0
754,'Ensalada de la casa',100.0
756,'Fajitas supremas',100.0
757,null,100.0
758,'Arroz rojo con morrón zanahoria y elote',100.0
760,'Filete de res migñon',100.0
761,'Codo con jamón,100.0
765,'Frijoles chinos',100.0
767,'Mixiotes de nopales con setas',100.0
768,'Plumita con jamón y perejil',100.0
769,'Spaghetti con crema y jitomate',100.0
771,'Filete de res San Ángel',100.0
772,'Crema de champiñones',100.0
773,'Champiñones con rajas y cebolla',100.0
775,'Carne de puerco en salsa verde con calabacitas y habas enzapatadas',100.0
776,'Medallones Nancy',100.0
777,'Chambarete en pipián verde con chilacayotes ',100.0
778,'Arroz blanco con atún,100.0
783,'Pollo ragout',100.0
785,'Empanadas de mole con pollo',100.0
786,'Quesadillas de requesón',100.0
787,'Plumita con brócoli',100.0
789,'Filete de pescado criollo',100.0
790,'Filete de pescado al perejil',100.0
791,'Poblanos rellenos de verduras',100.0
2062,'Consumo brunch',100.0
2174,'Miel Náhuatl 500 ml',100.0
794,'Plumita a la poblana',100.0
795,'Costillas en salsa de zarzamora',100.0
796,'Lengua de res en encacahuatado blanco',100.0
797,'Pollo alsaciano',100.0
798,'Crema de queso',100.0
799,'Arroz rojo con chayote y zanahoria',100.0
2094,'Arroz rojo con chícharo,100.0
801,'Pay de manzana',100.0
802,'Filete de pescado delicioso',100.0
803,'Arroz rojo con champiñones y ejote',100.0
804,'Quiche de setas con champiñones',100.0
2095,null,100.0
2096,'Crema de elote con rajas y queso panela día del padre',100.0
2097,'Spaghetti al chipotle día del padre',100.0
808,'Costillas de res en salsa verde con habas enzapatadas',100.0
809,'Pechugas supremas',100.0
2098,'Sopa de pasta día del padre',100.0
811,'Aguacate relleno de pollo',100.0
812,'Calabacitas a la vinagreta',100.0
813,'Fusilli a la toscana',100.0
814,'null',100.0
2100,'Rollo de pescado día del padre',100.0
2101,'Lomo al tamarindo día del padre',100.0
2102,null,100.0
818,'Fajitas jalapeñas',100.0
2103,'Filete de res migñon día del padre',100.0
820,'Filete de pescado a la veracruzana',100.0
821,'Poblanos rellenos de camarón',100.0
2104,'Pancita de res en guajillo día del padre',100.0
2106,'Pechugas cordon blue día del padre',100.0
2107,'Mixiotes de pollo con nopales muslo ',100.0
825,'Bisteces de res en salsa verde con verdolagas',100.0
826,'Mayonesa Mc. Cormic 390 gr',100.0
827,'Arroz blanco con ejote,100.0
828,'Carne de puerco en salsa verde con papas',100.0
2108,'Lasaña portobello día del padre',100.0
830,'Quesadillas de chicharrón',100.0
831,'Quesadillas de tinga de pollo',100.0
832,'Filete de pescado al ajillo',100.0
833,'Calabacitas rellenas en su jugo',100.0
834,'Arroz rojo con morrón,100.0
835,'Bisteces a la francesa',100.0
836,'Pierna delicias',100.0
2109,'Papas al tocino día del padre',100.0
2111,'Ensalada de nopales día del padre',100.0
2112,'Chayotes al perejil día del padre',100.0
2175,'null',100.0
2176,'Miel Gourmet Mirikam 350 gr',100.0
2182,'Pollo en mole poblano muslo',100.0
2185,'Miel Santos 250 ml',100.0
840,'Chuletas en salsa mora con nopales',100.0
2113,'Verduras a la mantequilla día del padre',100.0
842,'Codo al chipotle navidad',100.0
2114,'Quesadillas de requesón día del padre',100.0
2115,null,100.0
2116,'Quesadillas de chicharrón día del padre',100.0
846,'Arroz rojo con calabacitas,100.0
2117,'Verduras al vapor día del padre',100.0
2118,'Aguacate relleno de atún día del padre',100.0
849,'Fajitas hidalguenses',100.0
2119,'Milanesa de res día del padre ',100.0
2120,'Pechugas rellenas día del padre ',100.0
2121,'null',100.0
853,'Nopales al piquín',100.0
2122,'Ensalada de manzana dái del padre',100.0
2123,'Ensalada de zanahoria día del padre',100.0
2190,'null',100.0
857,'Vaso de piña',100.0
858,'Bisteces asturianos',100.0
2125,'Ensalada de betabel día del padre',100.0
2126,'Ceviche de soya día del padre',100.0
2127,'Ensalada de pollo día del padre',100.0
2128,'Ensalada mixta día del padre',100.0
863,'Ensalada de arándanos',100.0
864,'Pollo en salsa verde con quintoniles',100.0
865,'Bolillo',100.0
2131,'salsa de piquin',100.0
2133,'tortillas de harina sabor chipotle',100.0
2134,null,100.0
2191,'null',100.0
870,'Macarrón en salsa roja navidad',100.0
871,'Nuggets 9 piezas',100.0
2192,'null',100.0
2193,'Arracadas ',100.0
2194,'null',100.0
2195,'null',100.0
876,'Morelianas de 15 de sep',100.0
2196,'null',100.0
